Category: All categories

Region,single: (2015)
Mississippi,100
Colorado,98
New Hampshire,96
Maryland,95
Arkansas,94
Louisiana,94
Tennessee,93
Vermont,92
Oklahoma,92
Arizona,91
Kentucky,91
South Carolina,90
California,90
Indiana,90
North Carolina,90
Missouri,90
New Mexico,90
Idaho,90
Pennsylvania,90
Michigan,90
West Virginia,89
Alabama,89
Massachusetts,89
Utah,89
Texas,88
Washington,87
Wyoming,87
Connecticut,87
Nebraska,87
Kansas,86
Ohio,86
Minnesota,86
Georgia,86
Wisconsin,86
Illinois,84
Iowa,84
New Jersey,83
Nevada,83
Maine,83
Alaska,82
District of Columbia,82
Rhode Island,82
New York,81
North Dakota,80
Delaware,80
South Dakota,78
Montana,75
Florida,75
Hawaii,75
Virginia,74
Oregon,73
