Category: All categories

Region,single: (2008)
Delaware,100
Vermont,94
Massachusetts,94
Maryland,92
Colorado,91
Pennsylvania,90
Arkansas,90
Georgia,89
District of Columbia,88
Connecticut,88
Illinois,88
Rhode Island,87
Florida,87
New Jersey,87
Wyoming,87
North Dakota,87
Mississippi,87
Michigan,87
Hawaii,87
Alaska,86
New York,86
Tennessee,86
North Carolina,85
South Dakota,85
Missouri,84
New Hampshire,84
Texas,84
New Mexico,83
West Virginia,83
Arizona,82
Minnesota,82
Montana,81
Washington,81
Louisiana,81
Wisconsin,80
Oregon,80
Nevada,80
Nebraska,80
Ohio,80
South Carolina,79
Alabama,79
Indiana,79
California,78
Maine,78
Utah,77
Kentucky,77
Kansas,76
Oklahoma,74
Iowa,74
Idaho,72
Virginia,70
