Category: All categories

Region,single: (2005)
Arkansas,100
Montana,93
Vermont,91
West Virginia,89
South Dakota,89
Mississippi,87
Alaska,86
North Dakota,86
California,83
Alabama,82
Wyoming,81
Oregon,81
Hawaii,81
New Mexico,80
Nebraska,80
Colorado,80
Maryland,80
Tennessee,80
New Hampshire,79
Texas,79
Kentucky,79
Iowa,79
Utah,78
Idaho,78
New York,78
Indiana,78
District of Columbia,77
Florida,77
Kansas,77
Louisiana,77
Michigan,77
Rhode Island,77
Arizona,77
Illinois,76
Pennsylvania,76
Oklahoma,75
Minnesota,75
Virginia,75
Georgia,75
South Carolina,74
Nevada,74
Maine,74
Washington,74
Delaware,73
Missouri,72
Connecticut,72
North Carolina,72
Massachusetts,72
Wisconsin,72
New Jersey,70
Ohio,69
