Category: All categories

Region,single: (2004)
Idaho,100
Arkansas,94
Utah,93
South Dakota,93
New Mexico,92
Montana,91
Kentucky,90
Rhode Island,88
Nebraska,85
District of Columbia,85
Mississippi,84
Maryland,84
Colorado,83
Vermont,82
California,82
South Carolina,82
Alabama,81
Missouri,81
West Virginia,80
Arizona,80
New Hampshire,79
Louisiana,79
Wisconsin,79
Tennessee,79
Minnesota,79
Oklahoma,78
Nevada,77
Texas,77
Oregon,77
New York,77
Indiana,76
Wyoming,76
Connecticut,76
Virginia,76
Michigan,76
Alaska,75
Kansas,75
North Dakota,75
Ohio,75
Iowa,74
Maine,74
Georgia,74
North Carolina,74
New Jersey,73
Washington,73
Delaware,72
Pennsylvania,71
Massachusetts,71
Florida,70
Hawaii,70
Illinois,67
