Category: All categories

Region,crazy ex: (2004)
South Dakota,100
Arkansas,33
Idaho,15
Oklahoma,6
North Carolina,2
Washington,2
New Jersey,1
Florida,<1
Illinois,<1
New York,<1
Alaska,
Alabama,
Arizona,
California,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Georgia,
Hawaii,
Iowa,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Ohio,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
Tennessee,
Texas,
Utah,
Virginia,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
