Category: All categories

Region,crazy ex: (2013)
Montana,100
Rhode Island,86
South Dakota,68
Alabama,65
Louisiana,62
Kentucky,58
Maine,58
West Virginia,58
Missouri,58
Ohio,55
North Dakota,55
Massachusetts,55
Oklahoma,55
Michigan,51
South Carolina,51
Tennessee,51
Indiana,51
Texas,51
Idaho,51
Georgia,51
Wisconsin,48
New Jersey,48
Florida,48
Mississippi,48
Nebraska,48
Iowa,44
Kansas,44
Arizona,44
Pennsylvania,44
Arkansas,44
Virginia,44
Vermont,44
North Carolina,41
District of Columbia,41
Illinois,41
California,37
Colorado,37
Washington,37
New York,37
Maryland,37
New Hampshire,37
Minnesota,34
Connecticut,34
Utah,34
Nevada,27
Hawaii,27
Alaska,27
New Mexico,24
Oregon,17
Delaware,
Wyoming,
