Category: All categories

Region,crazy ex: (2012)
West Virginia,100
Kentucky,93
Vermont,89
New Mexico,79
Alabama,79
Nebraska,79
Missouri,72
Louisiana,72
Alaska,68
Wisconsin,65
South Carolina,65
Arkansas,62
Texas,58
Pennsylvania,58
Michigan,55
Montana,55
Tennessee,55
Ohio,55
Florida,51
Illinois,48
South Dakota,48
Massachusetts,48
New Jersey,48
Kansas,48
Hawaii,48
Colorado,48
Iowa,44
Connecticut,44
New York,44
Georgia,44
Virginia,44
North Carolina,41
Delaware,41
Minnesota,41
District of Columbia,41
Maryland,41
Idaho,37
Indiana,37
Maine,37
Nevada,37
California,37
Utah,34
Arizona,34
Rhode Island,34
Washington,31
New Hampshire,24
Oklahoma,17
Mississippi,17
Oregon,13
North Dakota,
Wyoming,
