Category: All categories

Region,crazy ex: (2009)
Montana,100
West Virginia,65
Wyoming,
Maine,48
Vermont,42
Tennessee,41
Indiana,34
Michigan,31
Alabama,30
Kentucky,28
Connecticut,27
Kansas,25
New Hampshire,22
Missouri,20
Wisconsin,20
Maryland,20
South Carolina,20
Arizona,18
Illinois,17
Ohio,15
Louisiana,15
District of Columbia,15
Colorado,15
Florida,14
New York,14
Massachusetts,14
North Carolina,12
Iowa,12
Texas,12
Pennsylvania,12
Washington,11
Georgia,11
Minnesota,11
Oklahoma,11
Oregon,11
New Jersey,10
Virginia,10
California,7
Alaska,
Arkansas,
Delaware,
Hawaii,
Idaho,
Mississippi,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
South Dakota,
Utah,
