Category: All categories

Region,crazy ex: (2011)
Oklahoma,100
Vermont,93
West Virginia,90
Arkansas,90
South Dakota,87
South Carolina,70
Kentucky,70
Iowa,70
Alabama,67
Oregon,61
New Mexico,58
Texas,54
North Carolina,54
Mississippi,51
Delaware,51
Indiana,48
Nevada,48
Minnesota,48
Illinois,48
Pennsylvania,45
Kansas,45
Maine,45
Tennessee,45
Maryland,45
Montana,41
Georgia,41
Connecticut,41
New Jersey,41
Ohio,41
Wisconsin,41
Michigan,41
Nebraska,38
New York,35
Alaska,35
Arizona,35
Louisiana,35
Massachusetts,32
Missouri,32
Virginia,32
Idaho,32
California,32
Hawaii,32
Florida,29
Colorado,25
Washington,22
District of Columbia,22
Utah,19
North Dakota,
New Hampshire,
Rhode Island,
Wyoming,
