Category: All categories

Region,Narcissistic personality: (2013)
Vermont,100
West Virginia,89
New Hampshire,80
Rhode Island,73
Colorado,71
Washington,70
North Dakota,69
New Mexico,68
Maine,68
District of Columbia,67
South Carolina,65
Maryland,65
South Dakota,65
Idaho,64
Arkansas,64
Montana,63
Louisiana,63
Minnesota,62
Michigan,62
Massachusetts,62
North Carolina,62
Connecticut,61
Nebraska,60
Tennessee,60
Pennsylvania,60
Virginia,60
Iowa,60
Indiana,58
Missouri,58
Delaware,58
Alabama,58
Wisconsin,57
Utah,57
Kentucky,57
Alaska,57
Ohio,57
Georgia,56
New Jersey,54
Florida,54
Kansas,53
Oklahoma,53
Arizona,53
Hawaii,52
New York,51
Illinois,50
California,48
Mississippi,48
Oregon,47
Texas,46
Nevada,41
Wyoming,41
