Category: All categories

Region,Narcissistic personality: (2004)
South Dakota,100
Maine,29
Wisconsin,28
Iowa,24
North Carolina,24
Vermont,23
Oklahoma,23
Ohio,18
Kansas,17
Pennsylvania,16
Minnesota,16
South Carolina,16
Alabama,16
Louisiana,16
Connecticut,15
New Hampshire,13
Missouri,13
Oregon,13
Texas,12
Nevada,12
Michigan,11
Colorado,11
Indiana,10
California,10
District of Columbia,10
Massachusetts,10
New York,10
Arizona,10
Illinois,9
Virginia,9
Tennessee,9
Georgia,8
Maryland,8
New Jersey,7
Washington,6
Florida,6
Alaska,
Arkansas,
Delaware,
Hawaii,
Idaho,
Kentucky,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Rhode Island,
Utah,
West Virginia,
Wyoming,
