Category: All categories

Region,Narcissistic personality: (2021)
Wyoming,100
Vermont,95
Maine,94
Hawaii,93
Montana,89
Utah,86
Delaware,82
Alaska,81
Connecticut,81
Rhode Island,77
Kansas,76
New Hampshire,76
Minnesota,75
Oregon,74
Missouri,74
Wisconsin,73
Massachusetts,72
Arizona,72
Pennsylvania,71
South Dakota,70
Tennessee,70
Arkansas,69
North Dakota,68
Idaho,68
Illinois,68
Nebraska,67
Michigan,67
Indiana,66
District of Columbia,65
Kentucky,65
Iowa,65
Washington,65
New Mexico,64
West Virginia,64
Colorado,64
Virginia,63
North Carolina,62
New Jersey,61
Louisiana,60
Ohio,60
Oklahoma,60
South Carolina,60
Maryland,57
Mississippi,57
Alabama,57
Florida,56
Georgia,55
New York,54
California,54
Nevada,50
Texas,48
