Category: All categories

Region,Narcissistic personality: (2016)
New Hampshire,100
Maine,92
Montana,89
West Virginia,79
Indiana,78
Rhode Island,76
Arkansas,75
Vermont,74
North Dakota,74
Washington,74
Connecticut,73
New Mexico,73
Nebraska,73
Minnesota,73
Missouri,72
Maryland,71
Delaware,70
Colorado,70
Wisconsin,68
Massachusetts,66
Oregon,65
Virginia,65
Michigan,65
Arizona,65
Tennessee,65
Ohio,65
Pennsylvania,64
Iowa,64
South Carolina,63
North Carolina,62
Utah,62
Mississippi,61
New Jersey,61
Kansas,61
Kentucky,61
Oklahoma,60
South Dakota,60
Alaska,60
Alabama,59
Illinois,59
Idaho,59
District of Columbia,56
Florida,56
Louisiana,55
Georgia,55
California,55
New York,54
Nevada,53
Hawaii,50
Wyoming,49
Texas,48
