Category: All categories

Region,Antisocial: (2014)
Alaska,100
North Dakota,96
New Mexico,91
Mississippi,89
South Dakota,89
New Hampshire,89
North Carolina,84
Missouri,84
Indiana,82
Rhode Island,81
Ohio,81
West Virginia,80
Wisconsin,78
Nevada,77
Vermont,76
Nebraska,75
Louisiana,75
Michigan,75
Florida,74
Massachusetts,74
Connecticut,74
Idaho,74
Pennsylvania,73
Oklahoma,73
Colorado,72
Washington,70
Arizona,70
Maryland,69
Illinois,69
Iowa,69
Kentucky,69
South Carolina,68
Alabama,68
Arkansas,68
Utah,68
Minnesota,67
New Jersey,66
Kansas,66
Georgia,64
Montana,64
New York,63
Maine,63
Texas,63
Tennessee,62
Delaware,62
California,60
District of Columbia,55
Hawaii,54
Virginia,54
Wyoming,49
Oregon,43
