Category: All categories

Region,Antisocial: (2020)
Mississippi,100
Delaware,100
Arkansas,98
New Hampshire,95
District of Columbia,92
Maryland,91
Nevada,88
Georgia,88
Connecticut,88
Louisiana,88
North Carolina,87
New Mexico,87
Oklahoma,87
Rhode Island,86
North Dakota,86
California,84
Illinois,84
New Jersey,84
Virginia,84
Hawaii,83
Kentucky,82
Pennsylvania,82
Utah,82
Alabama,81
Maine,81
Massachusetts,79
Indiana,79
Minnesota,79
Texas,79
Kansas,79
Arizona,78
New York,78
Missouri,78
Oregon,77
West Virginia,76
Wisconsin,75
Idaho,75
Tennessee,74
Ohio,74
Nebraska,73
Florida,73
South Carolina,73
Washington,73
Iowa,73
Michigan,72
Alaska,71
South Dakota,71
Colorado,68
Wyoming,66
Vermont,65
Montana,53
