Category: All categories

Region,Antisocial: (2006)
Wyoming,100
Mississippi,79
Rhode Island,66
New Hampshire,64
North Dakota,64
Minnesota,61
Maine,61
West Virginia,59
Louisiana,59
Michigan,52
Vermont,50
Kentucky,44
Virginia,43
North Carolina,42
Pennsylvania,42
Arkansas,40
Delaware,40
Kansas,39
Colorado,38
Maryland,37
Arizona,36
Nebraska,36
Wisconsin,36
Massachusetts,36
Illinois,35
South Dakota,35
Washington,34
Connecticut,34
District of Columbia,33
Iowa,31
Texas,31
Georgia,31
New York,31
Alabama,30
Missouri,29
California,29
South Carolina,28
Florida,28
Ohio,28
Oregon,26
Utah,26
New Jersey,25
Indiana,20
Idaho,19
Hawaii,19
Tennessee,17
Oklahoma,8
Alaska,
Montana,
New Mexico,
Nevada,
