Category: All categories

Region,Paranoid personality disorder: (2005)
Mississippi,100
Wyoming,
New Hampshire,
Iowa,41
Nebraska,
New Mexico,
Minnesota,19
Louisiana,18
Oklahoma,17
North Carolina,17
Arizona,16
Wisconsin,14
Pennsylvania,14
Kansas,
Utah,13
Missouri,10
Georgia,10
Virginia,10
Maryland,8
Colorado,8
Connecticut,8
Indiana,7
Illinois,7
Washington,6
Massachusetts,6
Florida,6
Ohio,5
New York,5
California,5
Texas,5
Michigan,3
New Jersey,2
Alaska,
Alabama,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Idaho,
Kentucky,
Maine,
Montana,
North Dakota,
Nevada,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
West Virginia,
