Category: All categories

Region,Paranoid personality disorder: (2016)
Wyoming,
Mississippi,100
Montana,
New Hampshire,
North Dakota,
Vermont,
Iowa,69
New Mexico,
Missouri,69
Oklahoma,69
Kansas,
Alabama,65
Utah,60
Minnesota,60
Idaho,56
South Dakota,
New Jersey,56
Pennsylvania,56
Ohio,56
Indiana,56
Arkansas,56
Louisiana,56
Connecticut,52
South Carolina,52
Illinois,52
Arizona,52
Wisconsin,52
Colorado,52
Kentucky,52
Delaware,
Michigan,47
Georgia,47
North Carolina,47
Florida,47
Oregon,47
District of Columbia,
Maryland,47
New York,47
Massachusetts,47
Virginia,43
Nebraska,
Tennessee,39
Washington,39
Texas,39
California,34
Alaska,
West Virginia,34
Nevada,30
Maine,
Hawaii,
Rhode Island,
