Category: All categories

Region,Paranoid personality disorder: (2010)
Nevada,100
Delaware,
Idaho,73
Alabama,69
Nebraska,
Maine,
New Hampshire,
Wisconsin,48
Missouri,46
Arizona,44
Ohio,44
Kentucky,44
Maryland,42
Utah,38
Pennsylvania,36
North Carolina,36
Louisiana,36
Massachusetts,32
Oklahoma,32
Arkansas,30
Indiana,28
New York,28
Minnesota,28
Iowa,26
Illinois,26
Texas,26
Oregon,26
Rhode Island,
Michigan,24
Georgia,24
Florida,24
District of Columbia,
Hawaii,
Tennessee,22
Connecticut,22
South Carolina,20
New Jersey,18
Colorado,18
Kansas,
Virginia,16
California,16
Washington,8
Alaska,
Mississippi,
Montana,
North Dakota,
New Mexico,
South Dakota,
Vermont,
West Virginia,
Wyoming,
