Category: All categories

Region,Paranoid personality disorder: (2014)
Wyoming,
North Dakota,
Arkansas,100
West Virginia,100
Alaska,
Delaware,
Maryland,77
Mississippi,72
Kentucky,72
Indiana,72
Kansas,
Iowa,68
Connecticut,68
South Dakota,
New Mexico,
Oklahoma,63
Ohio,59
Minnesota,59
Wisconsin,59
Maine,
Pennsylvania,59
Arizona,54
Utah,54
Colorado,54
Nevada,54
California,54
Idaho,50
Georgia,50
Missouri,50
New York,50
Michigan,50
Texas,50
South Carolina,50
North Carolina,50
Alabama,50
Illinois,50
Florida,45
Tennessee,45
New Jersey,45
Oregon,45
Massachusetts,40
Nebraska,
Louisiana,40
Virginia,40
District of Columbia,
Vermont,
Washington,31
Hawaii,
Montana,
New Hampshire,
Rhode Island,
