Category: All categories

Region,Paranoid personality disorder: (2012)
Maine,
Vermont,
Delaware,
Mississippi,100
Idaho,96
West Virginia,80
Louisiana,76
Wisconsin,76
Kentucky,76
Arkansas,76
Wyoming,
Ohio,72
Iowa,68
Utah,68
South Dakota,
Pennsylvania,68
Alabama,64
Minnesota,64
North Carolina,64
Arizona,64
Oklahoma,64
Michigan,60
New Jersey,60
Connecticut,56
Tennessee,56
Oregon,56
Montana,
Florida,52
Hawaii,
South Carolina,52
District of Columbia,
Maryland,52
Missouri,52
Virginia,48
North Dakota,
Rhode Island,
Kansas,
Illinois,48
Massachusetts,44
Nebraska,
New York,40
Indiana,40
Washington,36
California,36
Georgia,36
Nevada,36
Alaska,
Texas,28
New Hampshire,
New Mexico,
Colorado,24
