Category: All categories

Region,Paranoid personality disorder: (2015)
New Hampshire,
Alaska,
Montana,
West Virginia,100
Wyoming,
Arkansas,91
Iowa,83
Connecticut,83
Rhode Island,
South Dakota,
Missouri,75
Indiana,75
Mississippi,70
Maine,
Minnesota,70
North Dakota,
Michigan,62
Nebraska,
Colorado,62
Wisconsin,62
Hawaii,
Pennsylvania,58
Kentucky,58
Massachusetts,58
Alabama,54
Georgia,50
New Mexico,
North Carolina,50
Arizona,50
New Jersey,50
Oregon,50
Illinois,50
South Carolina,50
Delaware,
Florida,45
Kansas,
Texas,45
Washington,45
Utah,45
New York,41
Maryland,41
Ohio,41
District of Columbia,
Oklahoma,37
Tennessee,37
California,37
Louisiana,33
Virginia,29
Nevada,25
Idaho,
Vermont,
