Category: All categories

Region,Paranoid personality disorder: (2011)
North Dakota,
South Dakota,
Rhode Island,
Mississippi,100
New Mexico,
Utah,87
Tennessee,87
North Carolina,83
Alaska,
Nebraska,
Arkansas,70
Michigan,70
Maine,
Iowa,66
District of Columbia,
Pennsylvania,66
Oklahoma,66
Virginia,62
Wisconsin,62
Missouri,62
Connecticut,58
Kentucky,58
New Jersey,58
Illinois,58
Idaho,54
Massachusetts,54
Maryland,50
Arizona,50
New Hampshire,
Florida,45
Ohio,45
Georgia,45
Texas,45
South Carolina,45
Montana,
Minnesota,41
Washington,37
New York,37
Louisiana,37
California,37
Hawaii,
West Virginia,37
Indiana,33
Alabama,29
Colorado,20
Oregon,20
Nevada,16
Delaware,
Kansas,
Vermont,
Wyoming,
