Category: All categories

Region,Divorce: (2009)
Georgia,100
Tennessee,97
Mississippi,93
West Virginia,90
Texas,88
Delaware,87
Nebraska,85
District of Columbia,85
Alabama,85
Colorado,84
Oklahoma,83
Maryland,82
Arkansas,82
Ohio,82
North Carolina,82
South Carolina,81
Illinois,80
Florida,80
Utah,80
Missouri,78
Wyoming,78
South Dakota,78
Idaho,77
Alaska,77
Kansas,76
Nevada,76
North Dakota,76
Montana,76
Minnesota,76
Rhode Island,76
Kentucky,75
Wisconsin,75
Pennsylvania,75
New Mexico,75
Indiana,75
Arizona,75
Hawaii,74
New Jersey,73
Louisiana,73
Iowa,72
Washington,72
New Hampshire,71
Michigan,70
Connecticut,70
New York,68
Oregon,66
Massachusetts,66
Vermont,63
Maine,63
California,53
Virginia,44
