Category: All categories

Region,Divorce: (2010)
Tennessee,100
Georgia,99
Missouri,91
Mississippi,91
Arizona,91
Maryland,90
Alabama,90
Delaware,90
District of Columbia,89
Oklahoma,89
Texas,88
West Virginia,86
New Jersey,85
South Dakota,84
North Carolina,84
Florida,84
Arkansas,84
Illinois,84
Ohio,84
Indiana,84
Pennsylvania,83
Colorado,83
Wisconsin,83
Minnesota,82
South Carolina,82
Wyoming,81
Utah,81
Idaho,81
Kansas,80
Kentucky,79
Louisiana,79
Hawaii,79
North Dakota,79
Nebraska,78
New York,78
Washington,77
Nevada,77
Montana,76
New Mexico,76
Iowa,74
Michigan,74
Connecticut,74
Oregon,72
Massachusetts,72
New Hampshire,69
Alaska,69
Maine,69
Rhode Island,68
Vermont,55
California,46
Virginia,43
