Category: All categories

Region,Divorce: (2015)
Alabama,100
Tennessee,98
Georgia,97
Arkansas,94
Oklahoma,92
Mississippi,90
Nevada,88
Louisiana,88
Utah,87
Ohio,86
South Carolina,86
Texas,85
Arizona,85
Nebraska,85
Colorado,84
Missouri,84
Kentucky,84
Maryland,83
North Carolina,82
Alaska,81
Connecticut,80
District of Columbia,80
Washington,80
Minnesota,79
Illinois,79
Indiana,79
North Dakota,78
Delaware,78
Florida,78
Michigan,77
New Jersey,77
Wyoming,76
Pennsylvania,76
Iowa,75
Hawaii,75
South Dakota,73
Wisconsin,73
Idaho,73
West Virginia,73
New York,72
New Hampshire,71
California,71
Montana,71
New Mexico,70
Kansas,69
Massachusetts,67
Maine,67
Vermont,66
Rhode Island,62
Virginia,56
Oregon,52
