Category: All categories

Region,weed: (2010)
Montana,100
Michigan,99
Rhode Island,98
Wyoming,94
Delaware,93
Florida,93
Connecticut,93
New Hampshire,93
Vermont,92
Massachusetts,92
Maine,91
West Virginia,90
Mississippi,90
North Dakota,90
Pennsylvania,89
Washington,87
New Mexico,87
Texas,86
Ohio,85
Wisconsin,85
North Carolina,85
South Dakota,85
Missouri,84
Oregon,84
Colorado,84
Louisiana,83
New York,83
Arkansas,82
Arizona,82
Alaska,81
Nevada,80
New Jersey,79
South Carolina,79
Indiana,78
Kansas,78
Hawaii,77
Illinois,76
Kentucky,76
Nebraska,75
Tennessee,75
Iowa,74
Maryland,72
Idaho,72
Georgia,71
Oklahoma,71
Minnesota,69
District of Columbia,67
Alabama,67
California,58
Utah,52
Virginia,48
