Category: All categories

Region,weed: (2005)
Montana,100
North Dakota,98
Vermont,89
Wyoming,87
New Mexico,83
Mississippi,83
Alaska,82
New Hampshire,77
Arkansas,77
Rhode Island,76
Delaware,75
South Carolina,74
Maine,73
West Virginia,72
Michigan,72
Oklahoma,71
Connecticut,71
South Dakota,70
Indiana,70
Oregon,67
Idaho,67
Iowa,67
Kentucky,66
Kansas,66
Wisconsin,66
North Carolina,65
Alabama,65
Washington,65
Louisiana,64
Nebraska,63
Minnesota,63
Hawaii,62
Nevada,62
Georgia,61
Missouri,61
Pennsylvania,61
Massachusetts,61
Ohio,61
Arizona,61
Colorado,61
New Jersey,60
Maryland,60
Illinois,59
Florida,59
California,59
Tennessee,58
Virginia,58
Texas,54
New York,51
Utah,48
District of Columbia,45
