Category: All categories

Region,weed: (2020)
Oklahoma,100
Vermont,87
Michigan,85
Maine,78
Nevada,78
Washington,77
West Virginia,76
Illinois,75
District of Columbia,74
Arkansas,73
Oregon,72
Alaska,71
Louisiana,71
Colorado,70
Mississippi,69
Georgia,69
Tennessee,68
Montana,68
Missouri,67
Indiana,66
Ohio,66
Delaware,66
Kentucky,66
North Carolina,66
Maryland,65
Alabama,65
Massachusetts,65
Arizona,64
Rhode Island,64
California,64
Pennsylvania,63
Texas,63
Kansas,63
New Mexico,62
Wisconsin,61
South Carolina,61
Virginia,61
Iowa,61
New Hampshire,60
Idaho,59
Connecticut,59
New Jersey,58
South Dakota,58
Nebraska,58
New York,55
North Dakota,55
Minnesota,54
Florida,54
Wyoming,51
Utah,50
Hawaii,47
