Category: All categories

Region,marijuana: (2021)
Oklahoma,100
Maine,93
Arizona,76
Montana,72
Michigan,72
New Mexico,71
Arkansas,70
Vermont,68
Colorado,67
South Dakota,66
Missouri,66
Connecticut,64
Pennsylvania,62
Virginia,62
Alaska,57
Ohio,57
Oregon,57
Massachusetts,55
Florida,55
Nevada,54
New Jersey,53
West Virginia,52
North Dakota,50
Washington,48
Illinois,48
Wyoming,46
Rhode Island,46
New York,45
Delaware,45
Maryland,44
New Hampshire,44
District of Columbia,42
Kansas,42
Indiana,42
Hawaii,41
Utah,41
Louisiana,41
Kentucky,41
Minnesota,41
California,40
Iowa,37
Mississippi,36
Tennessee,36
Alabama,35
Wisconsin,35
North Carolina,34
Texas,34
Nebraska,33
Idaho,33
South Carolina,32
Georgia,31
