Category: All categories

Region,marijuana: (2009)
Montana,100
Colorado,96
Oregon,84
Vermont,80
Rhode Island,80
Maine,77
Hawaii,76
Michigan,75
New Hampshire,75
Alaska,69
Wyoming,69
Washington,67
New Mexico,66
Nevada,63
West Virginia,62
California,61
North Dakota,61
Arkansas,61
South Dakota,58
Delaware,57
Idaho,57
Kansas,57
Pennsylvania,56
Mississippi,55
Ohio,54
Iowa,54
Missouri,54
Massachusetts,54
Connecticut,54
Kentucky,53
Illinois,53
Wisconsin,53
New York,52
Indiana,52
Texas,52
Florida,51
Arizona,50
New Jersey,50
Nebraska,49
North Carolina,49
Minnesota,47
Louisiana,47
South Carolina,46
Oklahoma,46
Alabama,44
Georgia,42
Utah,41
Tennessee,41
Maryland,39
District of Columbia,37
Virginia,27
