Category: All categories

Region,marijuana: (2004)
Vermont,100
Alaska,90
Wyoming,86
North Dakota,83
Maine,81
Montana,79
Oregon,75
South Dakota,70
Rhode Island,70
Nevada,67
Hawaii,67
West Virginia,66
New Hampshire,65
Connecticut,62
Michigan,62
Idaho,61
Wisconsin,61
Delaware,60
Arkansas,59
Kentucky,58
Indiana,58
New Mexico,58
Colorado,54
Nebraska,54
Washington,54
California,54
Kansas,53
Pennsylvania,53
New York,53
Missouri,52
Louisiana,52
Mississippi,52
Iowa,51
South Carolina,50
Arizona,50
Minnesota,50
Ohio,49
Oklahoma,47
North Carolina,47
New Jersey,46
Alabama,46
Massachusetts,45
Florida,45
Illinois,44
Tennessee,43
Georgia,43
Virginia,42
Maryland,42
Utah,41
Texas,39
District of Columbia,33
