Category: All categories

Region,marijuana: (2019)
Oklahoma,100
Maine,62
Michigan,53
Vermont,50
Oregon,50
Colorado,48
Nevada,48
Arkansas,48
Rhode Island,44
Massachusetts,43
Pennsylvania,43
New Mexico,42
Alaska,41
Missouri,40
Arizona,39
New Hampshire,39
Illinois,38
Ohio,36
Washington,36
Connecticut,36
Montana,34
Florida,34
Delaware,32
California,32
North Dakota,31
New Jersey,31
Maryland,31
Indiana,30
Hawaii,30
District of Columbia,29
West Virginia,29
Wyoming,28
Kentucky,28
Kansas,27
Iowa,27
New York,26
Wisconsin,25
Minnesota,25
South Dakota,24
Tennessee,24
Utah,24
Alabama,24
Virginia,24
Nebraska,24
Idaho,24
Mississippi,23
Louisiana,22
North Carolina,22
South Carolina,22
Texas,22
Georgia,21
