Category: All categories

Region,marijuana: (2006)
Vermont,100
Maine,97
West Virginia,93
Rhode Island,91
Montana,91
Wyoming,85
Nevada,83
South Dakota,83
Oregon,83
Hawaii,82
New Hampshire,80
California,80
Alaska,79
Kentucky,75
Indiana,74
New Mexico,74
Kansas,73
Idaho,72
North Dakota,71
Colorado,70
Wisconsin,69
Pennsylvania,68
Connecticut,67
Mississippi,66
Iowa,66
Arkansas,65
Michigan,65
Delaware,65
Nebraska,64
New York,62
Florida,62
Illinois,61
Minnesota,59
Washington,59
Ohio,58
Louisiana,57
Tennessee,57
Massachusetts,56
Oklahoma,56
South Carolina,56
Alabama,55
Missouri,55
Arizona,55
Texas,55
New Jersey,55
Maryland,52
North Carolina,52
Virginia,50
Utah,47
District of Columbia,46
Georgia,45
