Category: All categories

Region,marijuana: (2012)
Washington,100
Colorado,97
Oregon,92
Arizona,86
Maine,85
California,84
Montana,83
Michigan,79
Vermont,72
Rhode Island,71
Alaska,65
Nevada,63
Indiana,62
New Mexico,61
Wyoming,61
West Virginia,58
Arkansas,58
Illinois,58
Kentucky,57
Massachusetts,57
Hawaii,57
Ohio,57
New Hampshire,56
Idaho,55
Missouri,55
Connecticut,54
Texas,54
Wisconsin,53
Alabama,52
Maryland,52
Florida,51
North Dakota,51
Pennsylvania,51
Georgia,51
Kansas,51
Iowa,51
Virginia,50
District of Columbia,50
Tennessee,49
New York,49
Delaware,48
Minnesota,48
New Jersey,47
South Dakota,46
Mississippi,46
Louisiana,45
Nebraska,44
Oklahoma,44
South Carolina,43
North Carolina,43
Utah,37
