Category: All categories

Region,firearms: (2007)
Montana,100
Alaska,87
Wyoming,85
Idaho,74
West Virginia,71
North Dakota,70
South Dakota,66
Oklahoma,63
Arkansas,63
Mississippi,62
Louisiana,59
New Mexico,57
Utah,55
Alabama,55
Nevada,54
Nebraska,54
Tennessee,53
Kansas,53
Kentucky,51
Missouri,50
Colorado,49
South Carolina,48
Maine,47
Arizona,44
Texas,44
Indiana,43
Oregon,42
North Carolina,41
New Hampshire,39
Iowa,39
Georgia,39
Virginia,36
Washington,36
Ohio,36
Vermont,36
Minnesota,35
Wisconsin,35
District of Columbia,34
Florida,34
Michigan,33
Delaware,32
Pennsylvania,32
Connecticut,29
Maryland,29
Hawaii,28
Illinois,24
Massachusetts,23
New Jersey,23
California,21
Rhode Island,20
New York,16
