Category: All categories

Region,firearms: (2012)
Wyoming,100
Montana,84
West Virginia,79
Oklahoma,76
Alaska,70
Maine,66
Indiana,63
New Hampshire,62
Kentucky,61
Arkansas,60
New Mexico,59
North Dakota,58
Nevada,57
Texas,57
Louisiana,57
Tennessee,56
South Dakota,56
Oregon,54
Idaho,54
Mississippi,54
Alabama,53
Ohio,52
Kansas,52
Arizona,51
Missouri,51
Nebraska,49
Iowa,48
Virginia,47
South Carolina,47
Washington,46
North Carolina,46
Massachusetts,46
Pennsylvania,44
Colorado,44
Vermont,42
Utah,42
Rhode Island,40
Michigan,40
Wisconsin,40
Florida,39
Georgia,37
Delaware,35
Minnesota,35
Hawaii,34
Connecticut,32
District of Columbia,30
Maryland,28
Illinois,28
California,26
New Jersey,24
New York,19
