Category: All categories

Region,firearms: (2018)
Montana,100
Wyoming,97
New Hampshire,93
Maine,91
Alaska,91
Idaho,86
North Dakota,84
West Virginia,80
Indiana,70
South Dakota,70
Vermont,69
Kentucky,69
Arizona,68
New Mexico,67
Oregon,66
Tennessee,66
Oklahoma,64
Missouri,64
Colorado,61
Nevada,61
Pennsylvania,60
Arkansas,59
North Carolina,58
Kansas,58
Ohio,58
Texas,57
Massachusetts,57
Alabama,57
Washington,55
Mississippi,55
Louisiana,54
Virginia,54
Wisconsin,53
Utah,52
Michigan,51
Iowa,51
Nebraska,51
Delaware,47
Florida,47
Georgia,46
South Carolina,45
Minnesota,43
District of Columbia,42
Connecticut,42
Rhode Island,41
Illinois,41
Hawaii,38
Maryland,38
California,30
New Jersey,29
New York,25
