Category: All categories

Region,Divorce: (2016)
Oklahoma,100
Alabama,96
Tennessee,94
Georgia,93
Mississippi,88
Utah,87
Texas,86
Nebraska,84
Arkansas,83
Illinois,83
Indiana,82
Kansas,82
Virginia,82
Maryland,82
South Carolina,81
New York,81
Arizona,80
Kentucky,80
Washington,80
Minnesota,79
District of Columbia,78
Florida,78
Connecticut,78
Oregon,78
Missouri,78
Nevada,78
Wyoming,78
Pennsylvania,77
New Jersey,77
Michigan,76
Colorado,76
Louisiana,76
Ohio,76
North Carolina,75
Alaska,75
Idaho,75
Massachusetts,73
Wisconsin,73
Delaware,71
California,71
North Dakota,70
Hawaii,70
Montana,70
New Hampshire,68
South Dakota,67
New Mexico,67
West Virginia,66
Iowa,65
Rhode Island,63
Maine,62
Vermont,62
