Category: All categories

Region,Divorce: (2006)
Oklahoma,100
Mississippi,99
Texas,96
Alabama,95
Arkansas,95
Georgia,93
South Carolina,93
Tennessee,93
Nevada,92
Wyoming,92
Florida,86
Nebraska,84
West Virginia,84
Alaska,83
Virginia,83
Kentucky,83
Illinois,82
District of Columbia,82
New Mexico,81
Indiana,81
Kansas,81
Utah,81
Colorado,81
Louisiana,80
Delaware,80
Iowa,79
Arizona,79
Missouri,78
North Dakota,78
North Carolina,78
Idaho,75
New Hampshire,75
Hawaii,75
Maryland,74
Wisconsin,74
Connecticut,74
Montana,73
South Dakota,73
Oregon,73
Maine,73
Rhode Island,72
Pennsylvania,72
Michigan,72
California,71
Ohio,70
Minnesota,69
Washington,69
New Jersey,66
New York,64
Massachusetts,61
Vermont,61
