Category: All categories

Region,Divorce: (2021)
Tennessee,100
Arkansas,97
Mississippi,96
Georgia,94
Kentucky,94
Indiana,93
Oklahoma,92
Missouri,92
Utah,91
Alabama,90
South Carolina,89
Texas,89
Kansas,88
Nevada,88
Maryland,88
Michigan,86
North Dakota,85
Idaho,85
Colorado,84
New Jersey,84
Virginia,84
Connecticut,83
Illinois,83
Nebraska,83
Ohio,81
Wisconsin,81
Hawaii,81
Florida,81
Washington,81
West Virginia,80
Minnesota,80
Alaska,80
Louisiana,80
Arizona,80
Wyoming,79
North Carolina,79
California,78
District of Columbia,77
Massachusetts,77
Pennsylvania,75
Oregon,74
Delaware,74
New Mexico,73
Iowa,73
South Dakota,73
New York,71
Rhode Island,68
Montana,67
New Hampshire,66
Vermont,66
Maine,63
