Category: All categories

Region,queer: (2009)
Delaware,100
North Dakota,88
New Hampshire,87
Oregon,79
Rhode Island,77
Massachusetts,69
New York,61
Maine,57
Kentucky,56
Mississippi,55
Indiana,55
Washington,54
Pennsylvania,54
Connecticut,53
Illinois,53
Maryland,53
California,53
Nevada,52
Minnesota,52
District of Columbia,52
Oklahoma,51
Arkansas,51
North Carolina,51
New Jersey,51
Ohio,51
Wisconsin,50
Montana,49
Missouri,49
South Carolina,49
Louisiana,48
Virginia,48
Utah,48
Colorado,48
Iowa,48
Texas,48
Arizona,47
Kansas,47
West Virginia,46
Michigan,46
Alabama,45
New Mexico,44
Florida,43
Hawaii,42
Georgia,42
Tennessee,40
Alaska,38
Wyoming,37
Vermont,37
Idaho,31
South Dakota,29
Nebraska,27
