Category: All categories

Region,queer: (2012)
Vermont,100
Oregon,85
Rhode Island,85
New Mexico,82
Washington,72
Maine,71
New York,70
Wyoming,68
Montana,68
California,66
Massachusetts,66
West Virginia,64
Nebraska,62
Iowa,56
Maryland,56
Minnesota,56
Connecticut,55
District of Columbia,55
Pennsylvania,55
Hawaii,53
Wisconsin,53
Indiana,52
New Jersey,52
Oklahoma,52
New Hampshire,51
Ohio,51
Alaska,51
Louisiana,51
Arkansas,50
North Carolina,50
Kansas,50
Kentucky,49
Nevada,49
Tennessee,49
Virginia,49
Illinois,49
Delaware,49
South Dakota,48
Missouri,47
Colorado,47
Alabama,45
Utah,45
Michigan,45
Arizona,44
Georgia,40
Idaho,39
Florida,39
Texas,38
South Carolina,37
North Dakota,36
Mississippi,36
