Category: All categories

Region,queer: (2011)
Oregon,100
Rhode Island,97
Maine,89
Massachusetts,86
New Hampshire,82
New York,81
Vermont,80
Wyoming,78
District of Columbia,77
Washington,76
Connecticut,76
California,75
Kansas,75
West Virginia,70
Pennsylvania,70
Maryland,69
New Mexico,69
Iowa,69
Indiana,67
Minnesota,66
Utah,65
Louisiana,64
Alabama,64
Kentucky,64
Ohio,63
Illinois,60
Nevada,59
Hawaii,59
South Carolina,59
New Jersey,58
Montana,58
North Carolina,58
Oklahoma,57
Arkansas,56
Missouri,56
Michigan,56
Virginia,56
Wisconsin,56
Colorado,56
Tennessee,55
Arizona,54
Nebraska,53
Florida,52
Georgia,51
South Dakota,50
Texas,50
Delaware,50
Mississippi,45
North Dakota,45
Idaho,39
Alaska,38
