Category: All categories

Region,queer: (2007)
West Virginia,100
New York,89
Maine,89
Massachusetts,86
Oregon,85
Rhode Island,79
Vermont,78
South Dakota,78
New Mexico,78
Wyoming,75
Washington,72
Pennsylvania,72
Louisiana,69
New Jersey,69
Michigan,67
Connecticut,67
Minnesota,67
California,66
Wisconsin,66
North Carolina,65
District of Columbia,64
New Hampshire,64
Kentucky,64
Maryland,64
Iowa,63
Delaware,63
Ohio,63
Tennessee,61
Arkansas,60
North Dakota,59
Illinois,59
Indiana,59
Hawaii,59
Texas,59
Missouri,58
Virginia,57
Florida,56
Nevada,55
Oklahoma,54
Colorado,54
Georgia,50
Nebraska,50
Kansas,48
Arizona,47
South Carolina,45
Montana,42
Alabama,42
Utah,40
Idaho,38
Mississippi,38
Alaska,33
