Category: All categories

Region,time to die: (2014)
West Virginia,100
Wyoming,91
Rhode Island,71
Utah,69
Alaska,69
Indiana,67
Iowa,67
Montana,67
North Dakota,66
Alabama,66
Nevada,61
Michigan,61
South Carolina,59
Tennessee,59
Oklahoma,59
New Mexico,59
Missouri,59
Kentucky,59
Wisconsin,57
Connecticut,57
Arizona,55
Washington,55
Kansas,55
Pennsylvania,55
South Dakota,55
New Jersey,55
North Carolina,54
Louisiana,54
Illinois,54
Arkansas,52
Ohio,52
Minnesota,50
Mississippi,50
New York,50
Georgia,49
Massachusetts,49
Texas,49
Idaho,49
Florida,49
Colorado,49
Maryland,47
Delaware,47
California,45
Nebraska,44
Vermont,42
District of Columbia,37
Oregon,37
Virginia,35
Maine,35
Hawaii,27
New Hampshire,23
