Category: All categories

Region,time to die: (2010)
Delaware,100
North Dakota,97
New Hampshire,97
Kentucky,84
Alaska,84
Alabama,76
West Virginia,71
Wisconsin,67
South Dakota,67
New Mexico,64
Kansas,61
Iowa,60
Mississippi,58
Rhode Island,58
Connecticut,58
Indiana,52
Pennsylvania,50
Michigan,50
Ohio,49
Tennessee,49
Georgia,47
Missouri,47
North Carolina,46
Minnesota,46
Hawaii,45
Oklahoma,45
Utah,45
New York,45
Colorado,45
Florida,43
Texas,43
New Jersey,41
District of Columbia,41
South Carolina,39
Massachusetts,39
Louisiana,39
Washington,39
Arkansas,38
Vermont,38
Illinois,36
Montana,36
Oregon,36
Maryland,35
Arizona,31
Nevada,27
California,27
Virginia,26
Nebraska,13
Idaho,
Maine,
Wyoming,
