Category: All categories

Region,time to die: (2011)
South Dakota,100
Rhode Island,74
Michigan,71
Iowa,69
Alabama,68
Delaware,68
New Hampshire,66
Kentucky,65
Ohio,65
Louisiana,65
Mississippi,65
Connecticut,61
South Carolina,61
New Jersey,61
Pennsylvania,60
Wisconsin,60
Maryland,60
Missouri,58
West Virginia,58
Vermont,58
Tennessee,57
Massachusetts,57
North Carolina,57
Georgia,55
Arkansas,55
Arizona,53
Idaho,53
Kansas,53
Wyoming,53
Oregon,50
Utah,50
Illinois,49
New York,49
California,47
Alaska,47
Nebraska,47
Minnesota,47
Florida,46
Washington,46
Texas,46
Nevada,46
Indiana,46
Colorado,46
Virginia,46
Oklahoma,44
Maine,42
Hawaii,39
Montana,36
District of Columbia,30
New Mexico,30
North Dakota,
