Category: All categories

Region,time to die: (2017)
Vermont,100
Delaware,97
Mississippi,95
Kansas,95
Nevada,91
New Mexico,89
Indiana,85
West Virginia,83
Idaho,81
Missouri,81
Oklahoma,79
Ohio,79
Kentucky,77
North Carolina,77
Utah,77
Virginia,75
Arizona,75
Washington,73
Maine,73
Michigan,69
Alabama,69
Minnesota,69
Iowa,69
Pennsylvania,69
New Jersey,69
Wisconsin,67
Oregon,67
Illinois,67
Massachusetts,65
South Carolina,65
Rhode Island,65
Colorado,65
Tennessee,63
Louisiana,63
Georgia,63
Arkansas,63
Florida,63
California,63
Maryland,61
Connecticut,61
Texas,57
New York,57
New Hampshire,57
Hawaii,57
South Dakota,55
Nebraska,48
North Dakota,42
District of Columbia,38
Alaska,34
Montana,28
Wyoming,26
