Category: All categories

Region,bulemia: (2018)
Rhode Island,
Vermont,
North Dakota,
Montana,
Nebraska,
Oklahoma,100
Maine,
Washington,75
Michigan,75
Utah,62
Colorado,62
Massachusetts,62
New Mexico,
Mississippi,
South Carolina,62
Illinois,62
Virginia,62
Arizona,62
Minnesota,62
Ohio,62
Kansas,50
Tennessee,50
Missouri,50
Wisconsin,50
Pennsylvania,50
Indiana,50
District of Columbia,50
Maryland,50
Iowa,50
California,50
Louisiana,50
North Carolina,50
Georgia,50
New York,50
Arkansas,
New Jersey,37
Oregon,37
Florida,37
Texas,37
Alabama,37
Connecticut,25
Kentucky,25
Nevada,
Alaska,
Delaware,
Hawaii,
Idaho,
New Hampshire,
South Dakota,
West Virginia,
Wyoming,
