Category: All categories

Region,bulemia: (2008)
South Dakota,
Vermont,
Montana,
Maine,
North Dakota,
Nebraska,
Rhode Island,
Kentucky,100
West Virginia,
Louisiana,92
Connecticut,92
Utah,84
Tennessee,76
Michigan,76
Wisconsin,76
Iowa,74
Indiana,74
Mississippi,
New Hampshire,
Illinois,68
Oregon,66
Missouri,66
North Carolina,62
Colorado,62
New York,62
Minnesota,62
Alaska,
Massachusetts,58
Alabama,58
Ohio,56
Washington,56
Texas,54
Georgia,54
New Jersey,54
Pennsylvania,52
South Carolina,52
Idaho,
Florida,50
Oklahoma,50
District of Columbia,50
Virginia,49
Maryland,49
California,49
Arizona,43
Nevada,
Arkansas,
Delaware,
Hawaii,
Kansas,
New Mexico,
Wyoming,
