Category: All categories

Region,bulemia: (2017)
Alaska,
North Dakota,
Rhode Island,
Nebraska,
Iowa,100
Hawaii,
Pennsylvania,100
Connecticut,85
District of Columbia,85
Indiana,85
Colorado,85
Michigan,85
Illinois,85
Maryland,85
Ohio,71
Arkansas,
Massachusetts,71
Washington,71
New Jersey,71
New York,71
Tennessee,57
Kansas,57
Texas,57
Virginia,57
California,57
Arizona,57
Florida,57
Utah,57
North Carolina,42
Minnesota,42
Oklahoma,42
Georgia,42
Mississippi,
Wisconsin,42
Maine,
Missouri,42
Kentucky,42
Alabama,42
Oregon,42
South Carolina,28
Louisiana,28
Delaware,
Idaho,
Montana,
New Hampshire,
New Mexico,
Nevada,
South Dakota,
Vermont,
West Virginia,
Wyoming,
