Category: All categories

Region,bulemia: (2006)
Montana,
North Dakota,
Maine,
Hawaii,
Idaho,
Utah,100
New Hampshire,
Nebraska,
Missouri,91
South Carolina,91
Oklahoma,89
Wyoming,
Arizona,84
Indiana,84
Kansas,84
New Mexico,
Colorado,80
Michigan,79
New Jersey,76
Vermont,
Ohio,73
Kentucky,69
Virginia,67
Minnesota,65
Georgia,65
New York,65
Pennsylvania,63
Oregon,63
Wisconsin,58
Connecticut,57
Maryland,57
Alaska,
Illinois,54
Louisiana,53
Texas,53
Iowa,51
Tennessee,50
North Carolina,50
California,47
Massachusetts,46
Florida,46
Alabama,45
District of Columbia,44
Washington,35
Nevada,
Arkansas,
Delaware,
Mississippi,
Rhode Island,
South Dakota,
West Virginia,
