Category: All categories

Region,bulemia: (2015)
Wyoming,
Alaska,
Iowa,100
West Virginia,
Utah,90
Hawaii,
South Dakota,
South Carolina,81
Tennessee,81
Massachusetts,81
Colorado,81
Mississippi,
New Hampshire,
Connecticut,72
Kentucky,72
Kansas,72
Alabama,63
Montana,
Minnesota,54
Pennsylvania,54
Wisconsin,54
Oregon,54
New York,54
California,45
North Carolina,45
Illinois,45
Rhode Island,
Indiana,45
Nevada,
Louisiana,45
Texas,45
Maryland,45
Michigan,45
Arizona,45
District of Columbia,45
Florida,45
Oklahoma,36
Ohio,36
Georgia,36
Washington,36
Missouri,36
New Jersey,27
Virginia,9
Arkansas,
Delaware,
Idaho,
Maine,
North Dakota,
Nebraska,
New Mexico,
Vermont,
