Category: All categories

Region,faith: (2004)
South Dakota,100
Mississippi,100
Alabama,89
West Virginia,85
North Dakota,84
Nebraska,83
Oklahoma,81
Tennessee,80
Iowa,78
South Carolina,78
Arkansas,77
Rhode Island,77
Louisiana,75
Indiana,73
Kentucky,73
Kansas,72
North Carolina,72
Michigan,72
New Hampshire,71
Maryland,68
Idaho,68
Missouri,67
Georgia,67
Hawaii,66
Montana,66
Ohio,66
Oregon,65
Pennsylvania,64
Wyoming,64
Minnesota,64
Utah,64
District of Columbia,63
Virginia,63
Wisconsin,63
Nevada,63
Connecticut,62
Maine,61
Texas,60
Washington,60
Colorado,59
Arizona,59
Florida,57
Delaware,56
Illinois,55
New Mexico,54
Vermont,54
New Jersey,54
Massachusetts,52
California,51
Alaska,48
New York,47
