Category: All categories

Region,faith: (2020)
Alabama,100
South Dakota,96
Arkansas,96
Mississippi,91
North Carolina,88
Louisiana,85
Georgia,84
South Carolina,81
Nebraska,81
Oklahoma,79
Tennessee,78
Montana,77
Missouri,76
North Dakota,74
Texas,72
Indiana,71
Kansas,68
Wisconsin,67
Kentucky,67
Maryland,67
Iowa,66
Michigan,65
Ohio,64
Virginia,64
West Virginia,64
Minnesota,63
Idaho,62
Utah,62
Florida,62
New Mexico,61
Alaska,61
Pennsylvania,61
Illinois,60
Washington,59
Wyoming,59
District of Columbia,59
Delaware,58
Colorado,57
Nevada,56
Arizona,55
Hawaii,53
Oregon,53
Vermont,52
New Jersey,51
California,51
Connecticut,51
New York,49
Massachusetts,46
Maine,45
New Hampshire,42
Rhode Island,41
