Category: All categories

Region,faith: (2010)
South Dakota,100
Mississippi,93
Alabama,92
Tennessee,89
North Carolina,88
Nebraska,82
Georgia,81
Arkansas,81
Missouri,81
West Virginia,79
Oklahoma,79
Iowa,77
Texas,75
Florida,74
Kansas,73
South Carolina,72
Michigan,72
Indiana,71
Montana,71
Ohio,71
Louisiana,71
Colorado,70
Wyoming,69
Pennsylvania,69
Idaho,69
Kentucky,69
North Dakota,68
Illinois,68
Maryland,66
Utah,66
Minnesota,66
New Mexico,65
Nevada,64
Alaska,64
District of Columbia,64
Delaware,63
Arizona,62
Maine,61
Washington,60
Wisconsin,59
New Jersey,59
Hawaii,56
New York,56
Massachusetts,54
Oregon,53
Connecticut,53
New Hampshire,52
Rhode Island,50
Vermont,50
California,40
Virginia,38
