Category: All categories

Region,Borderline: (2005)
Alaska,100
South Dakota,84
Vermont,82
Montana,75
Rhode Island,60
Connecticut,60
Kentucky,57
New Mexico,55
Oregon,54
South Carolina,54
Minnesota,52
Pennsylvania,51
Alabama,51
Mississippi,51
Kansas,51
Washington,49
Maine,48
North Carolina,48
Missouri,46
New York,46
Wyoming,46
Massachusetts,46
Indiana,44
Utah,44
Tennessee,43
New Hampshire,43
Michigan,43
Louisiana,42
Illinois,42
Idaho,41
Wisconsin,40
Colorado,40
Nebraska,40
Oklahoma,39
Maryland,39
Arizona,39
Iowa,39
Georgia,39
Ohio,37
Florida,37
Virginia,37
New Jersey,37
California,36
Texas,33
Nevada,31
District of Columbia,28
Arkansas,27
West Virginia,25
Delaware,19
Hawaii,17
North Dakota,
