Category: All categories

Region,Borderline: (2011)
New Hampshire,100
North Dakota,89
Rhode Island,89
Montana,84
Maine,84
Vermont,83
Alaska,80
South Dakota,80
Idaho,80
New Mexico,76
Oregon,73
Utah,71
Massachusetts,71
Wyoming,71
New York,71
Connecticut,70
Oklahoma,70
Minnesota,70
Indiana,70
Washington,68
District of Columbia,67
Ohio,66
Missouri,66
Pennsylvania,66
Colorado,65
Kentucky,64
Maryland,64
Virginia,64
Alabama,64
West Virginia,63
South Carolina,63
Michigan,63
New Jersey,62
Nebraska,62
Iowa,61
North Carolina,61
Delaware,61
Tennessee,60
Wisconsin,60
Mississippi,59
Louisiana,58
Kansas,58
Arizona,57
Arkansas,56
California,56
Illinois,54
Texas,51
Georgia,51
Hawaii,51
Nevada,49
Florida,47
