Category: All categories

Region,Borderline: (2012)
New Hampshire,100
New Mexico,97
Maine,93
Vermont,91
Rhode Island,89
Idaho,87
West Virginia,83
North Dakota,83
Utah,80
Arkansas,79
Oregon,79
Wyoming,79
South Dakota,78
Minnesota,78
South Carolina,75
Iowa,75
Connecticut,74
Montana,74
Missouri,74
Kansas,74
Massachusetts,73
Washington,73
Colorado,72
Pennsylvania,71
Arizona,71
Indiana,70
California,70
New York,69
Kentucky,69
Alabama,69
Tennessee,69
Ohio,68
Louisiana,67
Oklahoma,66
Wisconsin,66
Michigan,66
Virginia,65
New Jersey,65
Mississippi,65
Maryland,64
Illinois,64
North Carolina,62
District of Columbia,61
Delaware,61
Nebraska,59
Nevada,59
Florida,57
Texas,56
Hawaii,56
Georgia,53
Alaska,49
