Category: All categories

Region,Borderline: (2010)
New Hampshire,100
Wyoming,76
Maine,76
South Dakota,73
North Dakota,72
Montana,66
Minnesota,65
Utah,62
Massachusetts,62
Maryland,60
Oregon,60
Alaska,58
Louisiana,58
Iowa,58
Indiana,57
Michigan,56
West Virginia,55
Ohio,54
New Mexico,54
Pennsylvania,54
Mississippi,54
Missouri,53
Kentucky,53
Arkansas,53
Kansas,53
Connecticut,53
Oklahoma,52
Wisconsin,52
New York,52
Idaho,52
South Carolina,51
Rhode Island,51
North Carolina,51
Vermont,51
District of Columbia,51
Arizona,50
Washington,50
Colorado,49
Nebraska,49
Tennessee,48
Nevada,47
New Jersey,47
Alabama,46
Illinois,46
Texas,42
Florida,42
Georgia,42
Delaware,41
Hawaii,41
California,38
Virginia,32
