Category: All categories

Region,Borderline: (2015)
Maine,100
New Hampshire,97
Vermont,91
West Virginia,78
Connecticut,77
Minnesota,77
Indiana,77
Massachusetts,76
Montana,75
Idaho,73
Utah,72
Wyoming,72
South Dakota,71
Colorado,71
New York,70
Washington,70
Missouri,70
Delaware,69
Kentucky,67
Rhode Island,66
District of Columbia,66
Maryland,65
Ohio,64
Tennessee,64
Michigan,64
Pennsylvania,64
New Mexico,64
Arizona,64
Wisconsin,63
Mississippi,63
South Carolina,63
Iowa,63
New Jersey,62
California,62
Louisiana,61
Hawaii,61
Oklahoma,61
North Carolina,59
Oregon,59
Arkansas,57
Nebraska,57
Alabama,57
Nevada,56
Texas,55
Alaska,55
Illinois,55
North Dakota,53
Florida,52
Kansas,52
Georgia,49
Virginia,40
