Category: All categories

Region,Borderline: (2016)
New Hampshire,100
Maine,99
Wyoming,95
Vermont,85
Rhode Island,82
Alaska,79
Utah,78
Connecticut,75
Montana,74
Oregon,74
North Dakota,70
Iowa,70
Idaho,70
South Dakota,70
Minnesota,70
Arkansas,69
New York,68
Kentucky,66
California,66
Oklahoma,66
West Virginia,65
Colorado,65
Indiana,65
New Mexico,65
Pennsylvania,64
Washington,64
Massachusetts,64
Missouri,63
Ohio,62
Arizona,62
Kansas,61
Maryland,60
Illinois,60
Virginia,60
New Jersey,59
District of Columbia,58
Mississippi,57
Wisconsin,57
Tennessee,57
Michigan,57
Delaware,56
Louisiana,54
North Carolina,53
Nevada,53
Alabama,51
South Carolina,51
Nebraska,51
Texas,50
Hawaii,50
Florida,49
Georgia,46
