Category: All categories

Region,Avoidant personality: (2012)
Idaho,100
North Dakota,
Vermont,
New Mexico,
Nevada,71
Utah,67
Arkansas,65
Connecticut,60
Rhode Island,
Michigan,56
Pennsylvania,54
Oregon,54
Indiana,52
Virginia,52
Minnesota,50
Ohio,50
Mississippi,
Oklahoma,50
Wisconsin,47
Tennessee,45
Massachusetts,45
Washington,45
Arizona,45
South Carolina,43
Colorado,43
New Jersey,43
New York,43
Maine,
Alabama,41
Missouri,41
Florida,39
Kentucky,39
Alaska,
Maryland,39
Kansas,36
California,36
Illinois,36
Louisiana,36
South Dakota,
Texas,34
Iowa,34
Georgia,32
North Carolina,32
Nebraska,
District of Columbia,
New Hampshire,
Hawaii,
West Virginia,15
Delaware,
Montana,
Wyoming,
